source,target,Fisher_Z
Parietal_Inf_L,Thalamus_L,0.5611
Calcarine_L,Lingual_L,0.5605
Frontal_Inf_Oper_L,Supp_Motor_Area_R,0.5597
Frontal_Mid_R,Caudate_L,0.5591
Rolandic_Oper_L,Thalamus_L,0.559
Frontal_Inf_Oper_L,Cingulum_Mid_R,0.5588
Frontal_Mid_L,Insula_L,0.5579
Frontal_Inf_Tri_L,Cingulum_Mid_L,0.5579
Supp_Motor_Area_L,Parietal_Sup_R,0.5577
Precentral_R,Caudate_R,0.5574
Insula_R,Postcentral_R,0.5572
Supp_Motor_Area_L,SupraMarginal_R,0.557
Frontal_Inf_Oper_R,Cingulum_Post_R,0.5569
Cingulum_Ant_L,Cingulum_Mid_R,0.5565
Frontal_Inf_Oper_R,Putamen_R,0.5558
Cingulum_Post_R,Parietal_Inf_R,0.5554
Frontal_Sup_Medial_L,Parietal_Sup_L,0.5552
Cuneus_L,Occipital_Sup_R,0.5551
Postcentral_L,Caudate_R,0.5546
Insula_L,Pallidum_L,0.5545
Frontal_Inf_Tri_L,Cingulum_Mid_R,0.5538
Frontal_Sup_Medial_R,Caudate_R,0.5536
Frontal_Inf_Tri_L,Postcentral_R,0.553
Precuneus_L,Thalamus_L,0.5524
Frontal_Sup_R,Insula_R,0.5503
Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,0.5503
Precentral_R,Caudate_L,0.5501
Postcentral_L,Thalamus_L,0.5501
Calcarine_R,Cuneus_R,0.5501
Cerebelum_3_L,Vermis_3,0.5499
Frontal_Mid_R,Cingulum_Ant_R,0.5498
Frontal_Mid_L,SupraMarginal_R,0.5495
